Date,Net asset values in currency of account (EUR)
31/08/2016,2466.96
30/09/2016,2470.6
31/10/2016,2460.91
30/11/2016,2454.91
30/12/2016,2506.41
31/01/2017,2512.7
28/02/2017,2556.79
31/03/2017,2583.85
28/04/2017,2610.55
31/05/2017,2641.07
30/06/2017,2620.45
31/07/2017,2642.29
31/08/2017,2650.71
29/09/2017,2677.64
31/10/2017,2716.07
30/11/2017,2703.48
29/12/2017,2713.75
31/01/2018,2741.07
28/02/2018,2682.18
29/03/2018,2649.21
30/04/2018,2681.1
31/05/2018,2690.69
29/06/2018,2669.39
31/07/2018,2708.73
31/08/2018,2700.23
28/09/2018,2698.39
31/10/2018,2583.58
30/11/2018,2574.9
31/12/2018,2482.05
31/01/2019,2585.03
28/02/2019,2619.71
29/03/2019,2652.98
30/04/2019,2697.11
