Date,Net asset values in currency of account (EUR)
28/11/2014,2549.25
31/12/2014,2544.96
30/01/2015,2563.94
27/02/2015,2565.4
31/03/2015,2571.87
30/04/2015,2561.15
29/05/2015,2550.91
30/06/2015,2519.19
31/07/2015,2535.33
31/08/2015,2517.77
30/09/2015,2510.12
30/10/2015,2531.8
30/11/2015,2530.55
31/12/2015,2506.04
29/01/2016,2518.43
29/02/2016,2523.15
31/03/2016,2548.19
29/04/2016,2552.83
31/05/2016,2560.29
30/06/2016,2582.86
29/07/2016,2598.93
31/08/2016,2600.43
30/09/2016,2596.2
31/10/2016,2577.64
30/11/2016,2548.1
30/12/2016,2558.71
31/01/2017,2548.89
28/02/2017,2566.36
31/03/2017,2556.9
28/04/2017,2571.8
31/05/2017,2576.67
30/06/2017,2570.27
31/07/2017,2582.01
31/08/2017,2592.19
29/09/2017,2585.04
31/10/2017,2591.52
30/11/2017,2585.42
29/12/2017,2582.81
31/01/2018,2564.02
28/02/2018,2553.31
29/03/2018,2555.06
30/04/2018,2538.54
31/05/2018,2535.21
29/06/2018,2527.39
31/07/2018,2528.02
31/08/2018,2528.59
28/09/2018,2517.73
31/10/2018,2503.58
30/11/2018,2498.72
31/12/2018,2503.86
31/01/2019,2535.72
28/02/2019,2534.11
29/03/2019,2560.43
30/04/2019,2557.42
