Date,Net asset values in currency of account (EUR)
29/11/2013,2759.44
31/12/2013,2769.67
31/01/2014,2709.6
28/02/2014,2788.65
31/03/2014,2803.56
30/04/2014,2801.83
30/05/2014,2860.97
30/06/2014,2882.5
31/07/2014,2856.76
29/08/2014,2911.75
30/09/2014,2894.16
31/10/2014,2902.66
28/11/2014,2964.88
31/12/2014,2936.02
30/01/2015,2995.61
27/02/2015,3112.23
31/03/2015,3135.16
30/04/2015,3134.59
29/05/2015,3154.86
30/06/2015,3070.39
31/07/2015,3135.99
31/08/2015,2964.99
30/09/2015,2885.41
30/10/2015,3052.77
30/11/2015,3085.74
31/12/2015,2992.58
29/01/2016,2865.85
29/02/2016,2820.53
31/03/2016,2907.41
29/04/2016,2914.01
31/05/2016,2951.65
30/06/2016,2912.74
29/07/2016,3006.72
31/08/2016,3034.52
30/09/2016,3041.12
31/10/2016,3034.79
30/11/2016,3041.7
30/12/2016,3122.24
31/01/2017,3141.79
28/02/2017,3217.17
31/03/2017,3262.17
28/04/2017,3302.66
31/05/2017,3348.45
30/06/2017,3320.26
31/07/2017,3352.27
31/08/2017,3362.75
29/09/2017,3412.78
31/10/2017,3477.16
30/11/2017,3461.85
29/12/2017,3480.81
31/01/2018,3543.69
28/02/2018,3448.59
29/03/2018,3392.44
30/04/2018,3452.15
31/05/2018,3468.22
29/06/2018,3433.46
31/07/2018,3502.81
31/08/2018,3489.68
28/09/2018,3484.55
31/10/2018,3296.3
30/11/2018,3286.76
31/12/2018,3117.52
31/01/2019,3285.24
28/02/2019,3347.63
29/03/2019,3388.74
30/04/2019,3467.7
